method,scenario,ep_len_start,ep_len_end,frac_collision_start,frac_collision_end,frac_timeout_start,frac_timeout_end,frac_success_start,frac_success_end
drppo,1a,441.76742858992856,209.62129211918688,0.0,0.0,0.6503451178451177,0.0,0.3496548821548821,1.0
drppo,2_dense,462.11842592592603,442.3116169233816,0.2449074074074074,0.36237876502582383,0.7509259259259259,0.6264175312704725,0.004166666666666667,0.011203703703703702
hjb_aux,1a,450.34144947644944,207.35254385964913,0.0,0.0,0.7097222222222223,0.0,0.29027777777777775,1.0
hjb_aux,2_dense,467.95472222222224,455.19129629629623,0.2230555555555555,0.2627777777777777,0.7591666666666667,0.7223148148148149,0.017777777777777774,0.014907407407407407
soft_hjb_aux,1a,440.96077441077443,247.08518946467476,0.0,0.0,0.5901515151515151,0.0,0.40984848484848485,1.0
soft_hjb_aux,2_dense,445.8696584896585,481.3157407407407,0.2570406445406445,0.14305555555555555,0.7346260221260221,0.8569444444444443,0.008333333333333333,0.0
eikonal_aux,1a,451.5877447552448,248.0494836355595,0.0,0.0,0.6796296296296296,0.0,0.3203703703703703,1.0
eikonal_aux,2_dense,463.23569023569024,461.3814225589226,0.2434427609427609,0.3271548821548821,0.7288552188552189,0.6496969696969697,0.0277020202020202,0.023148148148148147
cbf_aux,1a,460.3373768823769,209.8146881091618,0.0,0.0,0.7418518518518518,0.0,0.2581481481481481,1.0
cbf_aux,2_dense,452.23726310726306,473.0364814814814,0.2805204055204055,0.23768518518518517,0.7103886853886854,0.7581481481481481,0.00909090909090909,0.004166666666666667
fusion_aux,1a,418.36384883634884,257.4275233426704,0.0,0.0,0.48670875420875415,0.005,0.5132912457912459,0.9949999999999999
fusion_aux,2_dense,458.2569203944205,458.64833333333337,0.23286435786435788,0.26685185185185184,0.7490379990379991,0.7331481481481481,0.018097643097643095,0.0
