step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.06999999999998807,95.88,64.8,0.2,10.0,0,35.88
1,3,GO,0.14999999999997612,95.84,64.8,0.4,10.0,0,35.84
2,3,GO,0.23000000000000684,95.78,64.8,0.6000000000000001,10.0,0,35.78
3,3,GO,0.3100000000000375,95.7,64.8,0.8,10.0,0,35.7
4,3,GO,0.3899999999999829,95.6,64.8,1.0,10.0,0,35.6
5,3,GO,0.47000000000001363,95.48,61.6,1.2,10.0,0,35.480000000000004
6,3,GO,0.5499999999999591,95.34,61.6,1.4,10.0,0,35.34
7,3,GO,0.6300000000000324,95.18,61.6,1.5999999999999999,10.0,0,35.18
8,3,GO,0.7099999999999778,95.0,61.6,1.7999999999999998,10.0,0,35.0
9,3,GO,0.7900000000000085,94.8,61.6,1.9999999999999998,10.0,0,34.800000000000004
10,3,GO,0.8699999999999966,94.58,61.6,2.1999999999999997,10.0,0,34.58
11,3,GO,0.9499999999999846,94.34,61.6,2.4,10.0,0,34.34
12,3,GO,1.0300000000000153,94.08,61.6,2.6,10.0,0,34.08
13,3,GO,1.1100000000000034,93.8,61.6,2.8000000000000003,7.579119337153837,0,33.800000000000004
14,3,GO,1.1899999999999915,93.5,61.6,3.0000000000000004,7.26771823396777,0,33.5
15,3,GO,1.2700000000000222,93.18,61.6,3.2000000000000006,7.041494045242255,0,33.18
16,3,GO,1.3499999999999677,92.84,61.6,3.400000000000001,6.819684929762889,0,32.84
17,3,GO,1.430000000000041,92.48,61.6,3.600000000000001,6.605415644399681,0,32.480000000000004
18,3,GO,1.5099999999999865,92.1,61.6,3.800000000000001,6.391142565899084,0,32.1
19,3,GO,1.5900000000000172,91.7,61.6,4.000000000000001,6.180537074109343,0,31.700000000000003
20,3,GO,1.6699999999999626,91.28,61.6,4.200000000000001,5.978785602490501,0,31.28
21,3,GO,1.7499999999999933,90.84,61.6,4.400000000000001,5.779009859959946,0,30.840000000000003
22,3,GO,1.830000000000024,90.38,61.6,4.600000000000001,5.583384686906185,0,30.380000000000003
23,3,GO,1.9100000000000121,89.9,61.6,4.800000000000002,5.3926023471783395,0,29.9
24,3,GO,1.9900000000000002,89.4,61.6,5.000000000000002,5.202344966505773,0,29.4
25,3,GO,2.0699999999999883,88.88,61.6,5.200000000000002,5.019437847932802,0,28.880000000000003
26,3,GO,2.1499999999999764,88.34,61.6,5.400000000000002,4.841245442431738,0,28.340000000000003
27,3,GO,2.230000000000007,87.78,61.6,5.600000000000002,4.67155743429272,0,27.78
28,3,GO,2.310000000000038,87.2,61.6,5.8000000000000025,4.503011509905433,0,27.200000000000003
29,3,GO,2.3899999999999832,86.6,61.6,6.000000000000003,4.336382544272158,0,26.6
30,3,GO,2.470000000000014,85.98,61.6,6.200000000000003,4.173807801027292,0,25.979999999999997
31,3,GO,2.550000000000002,85.34,61.6,6.400000000000003,4.014868426189638,0,25.339999999999996
32,3,GO,2.62999999999999,84.67999999999999,61.6,6.600000000000003,3.854338372531832,0,24.68
33,3,GO,2.709999999999978,84.0,61.6,6.800000000000003,3.7026698187798157,0,24.0
34,3,GO,2.7900000000000515,83.3,61.6,7.0000000000000036,3.552941573630907,0,23.299999999999997
35,3,GO,2.869999999999997,82.58,61.6,7.200000000000004,3.407906731091471,0,22.58
36,3,GO,2.949999999999985,81.84,61.6,7.400000000000004,3.264984390277127,0,21.839999999999996
37,3,GO,3.030000000000016,81.08,61.6,7.600000000000004,3.121646257545782,0,21.079999999999995
38,3,GO,0.11000000000000387,80.3,61.6,7.800000000000004,2.982945378220612,0,20.299999999999994
39,3,GO,0.18999999999999195,79.5,61.6,8.000000000000004,2.845677171378126,0,19.499999999999993
40,3,GO,0.27000000000002267,78.67999999999999,61.6,8.200000000000003,2.711125172755378,0,18.679999999999993
41,3,GO,0.3500000000000103,77.83999999999999,61.6,8.400000000000002,2.576222607640268,0,17.839999999999993
42,3,GO,0.42999999999995575,76.97999999999999,61.6,8.600000000000001,2.442812839251144,0,16.979999999999993
43,3,GO,0.5099999999999865,76.1,61.6,8.8,2.3124347629613666,0,16.099999999999994
44,3,GO,0.5900000000000172,75.2,61.6,9.0,2.1837120526764626,0,15.199999999999996
45,3,GO,0.6700000000000053,74.28,61.6,9.2,2.059137246148687,0,14.279999999999994
46,3,GO,0.7500000000000355,73.33999999999999,61.6,9.399999999999999,1.935416732523091,0,13.339999999999993
47,3,GO,0.829999999999981,72.38,61.6,9.599999999999998,1.8138967236007633,0,12.379999999999992
48,3,GO,0.9100000000000117,71.39999999999999,61.6,9.799999999999997,1.6925569724442486,0,11.399999999999991
49,3,GO,0.9899999999999998,70.39999999999999,61.6,9.999999999999996,1.5719388326080685,0,10.399999999999991
50,3,GO,1.0699999999999876,69.38,61.6,10.199999999999996,1.4550782361507615,0,9.379999999999992
51,3,GO,1.1499999999999757,68.33999999999999,61.6,10.399999999999995,1.337020846529353,0,8.339999999999993
52,3,GO,1.2300000000000062,67.28,61.6,10.599999999999994,1.2192615484330138,0,7.279999999999994
53,3,GO,1.3099999999999943,66.19999999999999,61.6,10.799999999999994,1.1033447719368505,0,6.199999999999996
54,3,GO,1.3899999999999824,65.1,61.6,10.999999999999993,0.9881973575742251,0,5.099999999999994
55,3,GO,-18.529999999999987,63.98,61.6,11.199999999999992,0.8741901652580949,1,3.979999999999997
